NAME LOGS Method_A Method_B
013476-55-6 -3.95 -3.73 -3.61
100-01-6 -2.37 -1.69 -1.54
100-17-4 -2.41 -2.3 -1.86
100-42-5 -2.82 -3.15 -2.69
100-46-9 -1.53 -1.7 -0.62
100-75-4 -0.17 -1.52 -0.42
1002-84-2 -4.31 -5.93 -6.05
101-84-8 -3.96 -3.83 -3.69
102-69-2 -2.28 -3.26 -2.42
102-76-1 -0.6 -0.25 -1.19
10238-21-8 -5.09 -4.12 -4.69
1024-57-3 -6.29 -4.34 -5.46
103-29-7 -4.62 -4.76 -4.71
103-65-1 -3.37 -3.75 -3.36
103-82-2 -0.89 -2.16 -1.35
103-84-4 -1.33 -1.8 -1.59
10311-84-9 -6.34 -4.15 -4.83
104-51-8 -4.06 -4.15 -3.95
104-75-6 -1.71 -2.87 -2.06
104-76-7 -2.11 -2.96 -1.95
105-05-5 -3.75 -4.21 -3.61
106-30-9 -2.71 -3.19 -2.67
106-42-3 -2.77 -3.41 -2.85
106-51-4 -0.99 -1.63 -0.13
106-57-0 -0.83 1.27 -0.07
106-93-4 -1.68 -2.4 -1.81
107-02-8 0.57 -1.05 0.58
107-05-1 -1.36 -2.13 -1.15
107-13-1 0.15 -1.4 0.26
107-31-3 0.58 -0.6 0.7
107-87-9 -0.19 -1.84 -0.45
1077-16-3 -5.21 -4.94 -4.76
108-42-9 -1.37 -2.29 -1.44
108-44-1 -0.85 -2.21 -0.99
108-46-3 0.81 -1.95 -0.1
108-48-5 0.45 -1.63 0.09
108-88-3 -2.21 -2.95 -2.44
108-94-1 -0.6 -2.05 -0.65
108-98-5 -2.12 -2.57 -2.01
109-00-2 -0.46 -1.12 0.46
109-67-1 -2.68 -2.85 -2.15
109-68-2 -2.54 -2.8 -2.25
109-70-6 -1.85 -2.29 -2
109-87-5 0.48 -0.89 0.51
109-99-9 0.56 -1.19 0.38
110-02-1 -1.45 -2.29 -1.67
110-38-3 -4.1 -4.39 -4.18
110-44-1 -1.77 -2.02 -0.63
110-54-3 -3.84 -3.53 -3.45
110-62-3 -0.85 -1.8 -0.59
111-11-5 -3.39 -3.27 -2.75
111-13-7 -2.05 -3.04 -2.09
111-26-2 -1.1 -2.14 -1.02
111-44-4 -1.12 -2.02 -0.85
111-66-0 -4.44 -4.06 -3.86
111-68-2 -1.85 -2.54 -1.73
111-70-6 -1.81 -2.64 -1.63
111-76-2 -0.42 -1.4 -0.44
111-87-5 -2.39 -3.03 -2.37
111-92-2 -1.44 -2.92 -2.1
1114-71-2 -3.35 -3.63 -3.45
112-38-9 -3.4 -4.06 -3.58
1125-78-6 -1.99 -3.52 -2.03
115-90-2 -2.3 -2.61 -4.87
1156-19-0 -3.68 -2.43 -3.62
1177-87-3 -4.9 -2.62 -4.25
118-55-8 -3.15 -4.29 -3.17
119-91-5 -5.4 -4.94 -5.01
1198-37-4 -1.94 -3.21 -2.51
120-47-8 -2.35 -2.54 -2.05
120-57-0 -1.63 -1.89 -1.78
120-82-1 -3.59 -4.12 -4.07
120-83-2 -1.55 -3.3 -2.15
121-75-5 -3.37 -2.39 -3.56
121-79-9 -1.78 -2.47 -2
122-11-2 -2.96 -1.85 -3.09
122-85-0 -1.58 -1.54 -2.14
123-08-0 -0.96 -1.96 -0.86
123-11-5 -1.49 -2.09 -1.55
123-25-1 -0.96 -1.26 -1.17
123-29-5 -3.8 -3.99 -3.77
123-51-3 -0.52 -1.7 -0.4
123-73-9 0.32 -1.4 0.04
123-86-4 -1.24 -1.84 -1.13
124-13-0 -2.36 -3 -2.34
124-48-1 -1.9 -2.63 -1.99
127-18-4 -2.54 -3.07 -2.89
129-00-0 -6.19 -4.56 -6.31
131-11-3 -1.66 -2.49 -1.99
132-65-0 -4.38 -4.25 -4.89
133-67-5 -2.68 -1.59 -3.92
133-91-5 -3.31 -4.16 -2.94
137-58-6 -1.76 -3.27 -2.72
138-52-3 -0.85 0.51 -2.12
138-86-3 -4 -3.61 -4.13
13993-65-2 -3.94 -3.85 -4.02
141-84-4 -1.77 -1.26 -0.65
142-08-5 1.02 -1.66 0.47
142-62-1 -1.06 -2.34 -1.11
142-68-7 -0.03 -1.59 0.02
142-82-5 -4.53 -3.93 -3.85
143-07-7 -4.62 -4.74 -4.48
144-82-1 -2.41 -0.91 -2.65
14437-17-3 -3.77 -3.67 -2.92
146-22-5 -3.8 -3.01 -3.49
146-54-3 -5.3 -5.03 -4.86
149-30-4 -3.18 -3.31 -2.26
150-69-6 -2.17 -1.69 -2.22
156-59-2 -1.3 -2.28 -1.56
15687-27-1 -3.99 -4.16 -3.37
1582-09-8 -5.68 -4.85 -5.08
15879-93-3 -1.84 -0.79 -2.24
16118-49-3 -1.83 -2.2 -2.42
16606-02-3 -6.25 -5.59 -6.11
1678-91-7 -4.25 -3.77 -4.22
1689-84-5 -3.33 -3.46 -2.82
17560-51-9 -3.78 -3.36 -4.34
191-24-2 -9.03 -5.75 -8.26
1912-26-1 -4.06 -3.2 -3.42
192-97-2 -7.8 -5.45 -8.09
1929-82-4 -3.76 -3.82 -3.76
19550-30-2 -0.39 -2.03 -0.72
198-55-0 -8.8 -5.45 -8.09
1982-49-6 -4.11 -3.65 -3.57
20244-70-6 -3.22 -2.73 -2.36
205-82-3 -8 -5.45 -8.13
205-99-2 -8.23 -5.45 -8.12
2050-68-2 -6.56 -5.05 -5.57
2051-61-8 -4.88 -4.5 -4.8
2051-62-9 -5.2 -4.5 -4.76
2104-96-3 -6.09 -4.88 -5.96
217-59-4 -6.74 -5.15 -7.55
2188-67-2 -3.27 -3.01 -2.76
2235-90-7 -2.57 -2.9 -2.29
22994-85-0 -2.81 -1.9 -2.5
2303-16-4 -4.08 -3.73 -4.61
2425-06-1 -5.4 -4.26 -4.57
2460-49-3 -2.53 -3.16 -2.4
24691-80-3 -3.3 -2.87 -3.05
25057-89-0 -2.68 -1.4 -2.7
2622-26-6 -3.98 -3.51 -4.29
2623-33-8 -1.91 -1.45 -2.27
2642-98-0 -6.2 -4.41 -6.36
26644-46-2 -4.19 -2.32 -3.61
28299-41-4 -4.85 -4.76 -4.59
28805-78-9 -3.01 -1.98 -2.32
28911-01-5 -4.08 -3.31 -4.85
2921-88-2 -5.49 -5.01 -5.74
298-00-0 -3.68 -3.05 -3.6
31251-03-3 -8.4 -5.88 -5.73
3248-05-3 -3.97 -3.7 -3.7
32598-11-1 -7.25 -6.14 -7.11
330-54-1 -3.8 -2.99 -3.21
33146-45-1 -5.21 -5.05 -5.44
33284-53-6 -7.16 -6.14 -7.09
333-41-5 -3.64 -4.48 -4.65
3337-71-1 -1.66 -0.79 -2.09
334-48-5 -3.44 -3.94 -3.45
339-43-5 -2.18 -1.57 -2.95
34123-59-6 -3.54 -3.02 -3.2
35065-27-1 -8.56 -7.21 -8.17
35065-28-2 -8.32 -7.21 -8.02
352-34-1 -3.13 -3.45 -2.76
35693-92-6 -6.14 -5.59 -6.18
36378-49-1 -6.7 -5.34 -5.04
366-18-7 -1.42 -2.48 -2.06
37517-28-5 -0.5 6.98 -2.8
37680-73-2 -7.89 -6.68 -7.25
3772-76-7 -2.54 -1.96 -3.03
37764-25-3 -1.62 -2.66 -2.4
3813-05-6 -2.61 -2.46 -2.69
38380-02-8 -7.91 -6.68 -7.27
38380-08-4 -7.82 -7.21 -7.86
389-08-2 -3.37 -1.62 -2.23
40186-72-9 -10.26 -8.85 -10.01
41464-40-8 -6.57 -6.14 -6.84
41483-43-6 -4.16 -2.71 -3.55
426-13-1 -4.1 -2.89 -3.94
439-14-5 -3.76 -3.48 -3.67
4396-01-4 -0.45 -1.4 -1.08
4516-69-2 -4.48 -3.5 -3.91
452-35-7 -3.81 -2.15 -2.77
484-12-8 -4.31 -3.72 -3.51
485-65-4 -2.63 -3.39 -3.33
488-73-3 -0.17 2.06 0.22
495-69-2 -1.68 -1.19 -2.17
50-11-3 -2.23 -1.56 -1.64
50-23-7 -2.97 -1.87 -3.15
50-24-8 -3.21 -1.86 -3.09
50-48-6 -4.46 -5.03 -5.01
50-49-7 -4.19 -4.56 -4.28
50-71-5 -1.25 0.1 -0.86
50-99-7 0.74 1.91 0.35
508-96-3 -5.51 -3.81 -4.7
51-55-8 -2.12 -2.13 -2.11
51-66-1 -1.3 -1.66 -2.1
51-67-2 -1.12 -1.33 -1.23
51-98-9 -4.79 -4 -4.8
51218-45-2 -2.73 -3.81 -3.53
513-36-0 -2 -2.58 -2
5131-24-8 -3.35 -2.94 -3.79
515-64-0 -2.24 -1.53 -2.57
52-39-1 -3.85 -2.1 -3.22
52-67-5 -0.13 1.21 -0.85
52251-71-5 -6.89 -5.12 -6.42
5234-68-4 -3.14 -2.07 -2.82
5259-88-1 -2.43 -0.87 -2.78
526-73-8 -3.2 -3.87 -3.14
52663-69-1 -7.92 -7.76 -8.84
52663-71-5 -8.3 -7.76 -8.86
529-64-6 -0.93 -1.5 -1.8
529-86-2 -4.73 -3.99 -4.64
53-19-0 -6.51 -6.2 -6.72
53-43-0 -4.12 -3.73 -4.55
539-03-7 -2.84 -2.35 -2.06
5392-40-5 -2.06 -3.1 -2.59
540-36-3 -1.97 -2.75 -2.03
541-48-0 1.08 1.76 0.03
542-55-2 -1.01 -1.72 -0.61
542-76-7 -0.29 -1.26 -0.34
543-28-2 -0.3 -1.46 -0.58
543-59-9 -2.73 -3.05 -2.68
544-25-2 -2.15 -2.54 -2.49
549-36-5 -2.69 -3.06 -2.65
55-21-0 -0.96 -1.45 -0.77
552-58-9 -3.62 -2.99 -2.81
553-26-4 -1.54 -1.78 -2.07
557-17-5 -0.39 -1.61 -0.16
55702-45-9 -6.29 -5.59 -6.23
56-04-2 -2.43 -1.83 -1.8
56-29-1 -2.74 -1.84 -2.15
56-47-3 -4.63 -4.1 -4.63
56-53-1 -4.35 -5.37 -4.69
57-13-6 0.96 0.5 0.9
57-27-2 -3.28 -1.52 -1.76
57-41-0 -3.99 -2.65 -2.88
57-42-1 -1.89 -2.92 -2.44
57-53-4 -1.67 -1.55 -1.77
57-74-9 -6.86 -5.45 -7.04
571-61-9 -4.74 -4.3 -4.34
576-26-1 -1.31 -3.14 -1.38
579-10-2 -0.95 -1.69 -1.94
58-18-4 -3.99 -3.99 -4.54
58-94-6 -3.05 -0.44 -2.7
583-53-9 -3.5 -3.87 -3.67
589-91-3 -0.88 -2.13 -1.01
589-93-5 0.4 -1.97 0.22
59-31-4 -2.14 -2.15 -1.86
590-12-5 -1.32 -2.57 -2.06
590-36-3 -0.49 -2.06 -0.67
591-17-3 -3.52 -3.64 -3.13
591-49-1 -3.27 -3.01 -3.08
591-50-4 -2.78 -3.32 -2.62
592-35-8 -0.66 -1.53 -0.64
594-36-5 -2.51 -2.88 -2.54
595-41-5 -0.85 -2.47 -1.12
597-49-9 -0.85 -2.6 -1.31
597-96-6 -1 -2.53 -1.28
598-06-1 -1.6 -2.93 -1.76
598-50-5 1.13 0.31 0.85
60-29-7 -0.09 -1.47 -0.1
60-57-1 -6.29 -4.26 -5.56
60-80-0 -0.56 -1.81 -1.51
60168-88-9 -4.38 -4.23 -5.04
608-21-9 -5.04 -4.56 -4.49
614-28-8 -2.27 -3.11 -3.06
614-29-9 -2.52 -3.66 -2.91
614-61-9 -2.16 -2.42 -2.19
614-80-2 -2.24 -1.53 -1.67
616-20-6 -2.63 -3.1 -2.65
619-02-3 -2.18 -3.14 -2.32
62-23-7 -2.8 -2.13 -1.8
624-24-8 -1.36 -2.07 -1.14
628-32-0 -0.66 -1.94 -0.71
628-63-7 -1.89 -2.23 -1.88
628-71-7 -3.01 -3.2 -2.94
629-05-0 -3.66 -3.6 -3.48
629-14-1 -0.77 -1.43 -0.31
63-05-8 -3.69 -4.24 -4.49
63-91-2 -1.23 0.34 -1.82
64-19-7 1.22 -0.52 0.93
65-71-4 -1.52 -0.3 -1.04
65-86-1 -1.93 0.39 -1.47
66-22-8 -1.48 0.05 -0.61
672-72-0 -0.77 1.61 -2.7
68-35-9 -3.51 -1.07 -3.01
684-93-5 -0.85 -0.24 -0.52
69-72-7 -1.82 -2.49 -1.3
71-30-7 -1.14 0.4 -0.54
71-36-3 0 -1.44 -0.11
71-41-0 -0.6 -1.84 -0.48
71-43-2 -1.64 -2.48 -1.79
72-20-8 -6.18 -4.26 -5.56
72-54-8 -7.2 -6.2 -6.57
72-55-9 -6.9 -6.2 -6.74
73-48-3 -3.59 -2.24 -4.41
73-49-4 -3.29 -1.78 -2.9
7307-04-2 -1.63 -2.63 -1.43
74-11-3 -3.31 -2.72 -2.04
74-88-4 -1 -2.12 -0.75
74-95-3 -1.17 -1.65 -1.5
741-58-2 -4.2 -3.81 -5.46
75-26-3 -1.59 -2.32 -1.8
75-50-3 0.84 -0.89 0.52
75-83-2 -3.55 -3.26 -3.41
75-85-4 0.08 -1.67 -0.29
751-97-3 -1.42 1.11 -2.99
7568-93-6 -0.48 -1.14 -0.89
76-24-4 -2.23 2.86 -2.15
76-93-7 -2.21 -3.01 -2.78
77-06-5 -1.84 -1.03 -2.93
77-21-4 -2.34 -2.63 -2.49
77-65-6 -2.68 -1.96 -1.88
78-83-1 0.04 -1.37 -0.1
78-87-5 -1.6 -2.44 -1.74
78-92-2 0.43 -1.42 0.02
781-43-1 -6.57 -5.19 -6.39
79-11-8 0.93 -1 0.13
79-31-2 0.28 -1.63 -0.14
79-34-5 -1.74 -3.27 -2.32
82-68-8 -5.82 -5.14 -5.04
83-26-1 -4.11 -3.47 -2.92
83-34-1 -2.42 -3.04 -1.97
83-56-7 -2.92 -2.83 -2.2
834-12-8 -3.04 -3.05 -3.33
84-16-2 -4.43 -5.54 -4.73
84-65-1 -5.19 -3.34 -3.14
84-74-2 -4.4 -4.87 -4.61
846-49-1 -3.6 -3.88 -3.83
85-44-9 -1.39 -1.99 -2.01
86-30-6 -3.75 -3.72 -3.85
86-57-7 -3.54 -3.32 -2.94
86-87-3 -2.65 -3.05 -2.92
87-47-8 -2.09 -2.51 -2.64
87-61-6 -4 -4.12 -4.07
88-04-0 -2.8 -3.68 -2.17
88-13-1 -1.47 -1.98 -1.06
88-75-5 -1.74 -2.16 -1.25
91-01-0 -2.55 -3.4 -2.83
91-15-6 -2.38 -2.23 -1.66
91-20-3 -3.6 -3.37 -3.48
91-22-5 -1.3 -2.63 -1.71
91-57-6 -3.77 -3.84 -3.83
91-58-7 -4.14 -3.92 -4.05
91-64-5 -1.89 -2.31 -2.06
91-66-7 -3.03 -3.22 -2.46
92-24-0 -8.6 -5.15 -7.43
92-52-4 -4.31 -3.97 -4.19
93-58-3 -1.85 -2.49 -1.64
93-60-7 -0.46 -1.4 -0.97
93-65-2 -2.55 -3.39 -2.66
93-89-0 -2.32 -2.81 -2.03
94-12-2 -2.33 -2.54 -2.42
94-20-2 -3.03 -2.46 -3.21
94-74-6 -2.23 -2.88 -2.34
94-82-6 -3.67 -3.44 -3.35
95-48-7 -0.62 -2.67 -0.75
95-49-8 -3.52 -3.49 -2.97
95-55-6 -0.72 -1.47 -0.42
95-57-8 -1.06 -2.75 -0.95
95-87-4 -1.54 -3.14 -1.35
96-12-8 -2.38 -3.05 -2.52
96-33-3 -0.22 -1.53 0.25
96-37-7 -3.3 -2.97 -2.95
96-47-9 0.11 -1.57 -0.13
968-81-0 -2.06 -2.34 -3.92
97-23-4 -3.95 -4.91 -4.61
97-95-0 -1.17 -2.16 -1.03
98-06-6 -3.66 -3.88 -3.85
98-10-2 -1.56 -1.24 -1.67
98-54-4 -2.41 -3.6 -2.34
98-82-8 -3.27 -3.61 -3.44
98-86-2 -1.28 -2.09 -1.51
98-89-5 -1.45 -2.41 -1.32
98-95-3 -1.8 -2.43 -1.06
98-96-4 -0.91 0.39 -0.46
99-04-7 -2.14 -2.64 -1.87
99-24-1 -1.24 -1.68 -1.58
99-49-0 -2.06 -3.01 -2.18
99-94-5 -2.6 -2.64 -1.76
99-96-7 -1.41 -1.91 -0.99
99-99-0 -2.49 -2.9 -2.02
