Query Reference Similarity Dataset
629-05-0 3452-09-3 0.95 HUUSKONEN_TEST
56-53-1 104-46-1 0.58 HUUSKONEN_TEST
57-53-4 149-32-6 0.60 HUUSKONEN_TEST
105-05-5 622-96-8 1.00 HUUSKONEN_TEST
99-24-1 149-91-7 0.89 HUUSKONEN_TEST
616-20-6 625-29-6 0.86 HUUSKONEN_TEST
75-26-3 78-75-1 0.67 HUUSKONEN_TEST
1156-19-0 64-77-7 0.67 HUUSKONEN_TEST
14437-17-3 501-52-0 0.61 HUUSKONEN_TEST
123-29-5 106-32-1 1.00 HUUSKONEN_TEST
102-69-2 102-82-9 0.83 HUUSKONEN_TEST
123-11-5 106-44-5 0.68 HUUSKONEN_TEST
78-83-1 75-84-3 0.81 HUUSKONEN_TEST
103-29-7 100-41-4 0.79 HUUSKONEN_TEST
95-87-4 108-39-4 0.83 HUUSKONEN_TEST
53-19-0 789-02-6 0.96 HUUSKONEN_TEST
597-49-9 77-74-7 0.90 HUUSKONEN_TEST
60-57-1 309-00-2 0.80 HUUSKONEN_TEST
205-99-2 207-08-9 0.98 HUUSKONEN_TEST
205-82-3 207-08-9 1.00 HUUSKONEN_TEST
751-97-3 60-54-8 0.93 HUUSKONEN_TEST
74-95-3 75-25-2 0.80 HUUSKONEN_TEST
439-14-5 2011-67-8 0.74 HUUSKONEN_TEST
65-71-4 103-73-1 0.57 HUUSKONEN_TEST
3813-05-6 149-32-6 0.56 HUUSKONEN_TEST
543-59-9 544-10-5 0.85 HUUSKONEN_TEST
111-44-4 96-23-1 0.59 HUUSKONEN_TEST
71-30-7 149-32-6 0.53 HUUSKONEN_TEST
28805-78-9 2163-69-1 0.67 HUUSKONEN_TEST
95-49-8 106-43-4 0.75 HUUSKONEN_TEST
541-48-0 2432-99-7 0.73 HUUSKONEN_TEST
108-48-5 108-47-4 0.83 HUUSKONEN_TEST
91-20-3 53-70-3 0.87 HUUSKONEN_TEST
75-50-3 62-56-6 0.36 HUUSKONEN_TEST
55702-45-9 2136-99-4 0.96 HUUSKONEN_TEST
111-76-2 142-96-1 0.80 HUUSKONEN_TEST
